State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
Illinois,1,D+27,Bobby Rush,D,"176,560","49,976","16,506",72.60%,20.60%,6.80%,52.10%,53.20%,-1.10%,73.80%,
137,,,,,,,,,,,,,,,
Illinois,2,D+29,Robin Kelly,D,"183,816","43,875",0,80.70%,19.30%,0.00%,61.50%,58.60%,2.90%,74.60%,
138,,,,,,,,,,,,,,,
Illinois,3,D+6,Dan Lipinski,D,"155,940","56,350",0,73.50%,26.50%,0.00%,46.90%,15.40%,31.50%,74.10%,
139,,,,,,,,,,,,,,,
Illinois,4,D+33,Chuy Garcia,D,"140,777","21,970",0,86.50%,13.50%,0.00%,73.00%,68.30%,4.70%,77.10%,
140,,,,,,,,,,,,,,,
Illinois,5,D+20,Mike Quigley,D,"197,162","62,039",0,76.10%,23.90%,0.00%,52.10%,46.00%,6.10%,78.30%,
141,,,,,,,,,,,,,,,
Illinois,6,R+2,Sean Casten,D,"156,346","139,667",0,52.80%,47.20%,0.00%,5.60%,6.80%,-1.20%,83.20%,
142,,,,,,,,,,,,,,,
Illinois,7,D+38,Danny Davis,D,"209,549","29,586",0,87.60%,12.40%,0.00%,75.30%,77.30%,-2.00%,76.20%,
143,,,,,,,,,,,,,,,
Illinois,8,D+8,Raja Krishnamoorthi,D,"124,908","65,576",0,65.60%,34.40%,0.00%,31.10%,21.60%,9.50%,73.90%,
144,,,,,,,,,,,,,,,
Illinois,9,D+18,Jan Schakowsky,D,"218,618","76,216",0,74.10%,25.90%,0.00%,48.30%,44.50%,3.80%,85.60%,
145,,,,,,,,,,,,,,,
Illinois,10,D+10,Brad Schneider,D,"152,411","80,618",0,65.40%,34.60%,0.00%,30.80%,28.90%,1.90%,79.50%,
146,,,,,,,,,,,,,,,
Illinois,11,D+9,Bill Foster,D,"140,907","80,775",0,63.60%,36.40%,0.00%,27.10%,23.30%,3.80%,78.40%,
147,,,,,,,,,,,,,,,
Illinois,12,R+5,Mike Bost,R,"116,985","134,009","7,823",45.20%,51.80%,3.00%,-6.60%,-14.80%,8.20%,81.80%,
148,,,,,,,,,,,,,,,
Illinois,13,R+3,Rodney Davis,R,"131,958","135,680",0,49.30%,50.70%,0.00%,-1.40%,-5.30%,3.90%,82.50%,
149,,,,,,,,,,,,,,,
Illinois,14,R+5,Lauren Underwood,D,"142,261","131,819",0,51.90%,48.10%,0.00%,3.80%,-4.00%,7.80%,81.00%,
150,,,,,,,,,,,,,,,
Illinois,15,R+21,John Shimkus,R,"69,234","177,682",0,28.00%,72.00%,0.00%,-43.90%,-46.20%,2.30%,77.00%,
151,,,,,,,,,,,,,,,
Illinois,16,R+8,Adam Kinzinger,R,"100,789","149,205",0,40.30%,59.70%,0.00%,-19.40%,-17.10%,-2.30%,78.60%,
152,,,,,,,,,,,,,,,
Illinois,17,D+3,Cheri Bustos,D,"139,461","86,218",0,61.80%,38.20%,0.00%,23.60%,-0.70%,24.30%,79.50%,
153,,,,,,,,,,,,,,,
Illinois,18,R+15,Darin LaHood,R,"93,330","193,543",0,32.50%,67.50%,0.00%,-34.90%,-27.30%,-7.60%,83.00%,
154,,,,,,,,,,,,,,,
Indiana,1,D+8,Peter Visclosky,D,"121,800","58,903",0,67.40%,32.60%,0.00%,34.80%,12.50%,22.30%,59.90%,
155,,,,,,,,,,,,,,,
Indiana,2,R+11,Jackie Walorski,R,"103,216","125,230",0,45.20%,54.80%,0.00%,-9.60%,-23.00%,13.40%,82.30%,
156,,,,,,,,,,,,,,,
Indiana,3,R+18,Jim Banks,R,"86,420","158,355",0,35.30%,64.70%,0.00%,-29.40%,-34.80%,5.40%,83.60%,
157,,,,,,,,,,,,,,,
Indiana,4,R+17,Jim Baird,R,"83,200","148,603",0,35.90%,64.10%,0.00%,-28.20%,-33.90%,5.70%,76.20%,
158,,,,,,,,,,,,,,,
Indiana,5,R+9,Susan Brooks,R,"126,586","175,768",0,41.90%,58.10%,0.00%,-16.30%,-11.70%,-4.60%,82.50%,
159,,,,,,,,,,,,,,,
Indiana,6,R+18,Greg Pence,R,"73,004","138,557","6,858",33.40%,63.40%,3.10%,-30.00%,-40.20%,10.20%,84.50%,
160,,,,,,,,,,,,,,,
